,comment,quality,difficulty
 HONBIOLOG,Birnbaum was one of the better lecturers for Honors Principles of Biology I. I liked his attempts to bring in medical problems related to the concepts being taught. His final lecture was an exam review and quite helpful.,5.0,3.0
 CULT2,"Anyone who complains about Newman is obviously stuck in high school. She is the epitome of an amazing college professor. Yes, she's a tough grader sometimes but she gets you to grow up and realize that tests aren't matching or multiple choice and essays actually have to make sense. Funny and sweet. Go to her for extra help! Very brilliant.",4.0,4.0
 CULFU2,Love this class. funny guy.. class is pretty easy. dont need to do the reading b/c he doesn't make you participate.. but should say something at least once a class. class gets really boring.. but still i recommend him.,4.0,2.0
 PHYSV85,"One of the top Physics and Data Science Professors out there. One of those professors where it's better to get him for an advanced class rather than an introductory class; if you get to take his particle physics class it is well worth it. Extremely nice, albeit a little awkward, he's probably more willing to help you than you think. Just ask!",5.0,3.0
 PHYSUA72,"Cranmer is an underrated professor. Sure our ""midterm project"" may have been more of a final project, but that pales in comparison to his willingness to help students succeed. He made an interactive version of the textbook and created a study guide, which our final exam was purely based on.",5.0,2.0
 PHYS136,"Prof. Cranmer is one of the smartest, most caring professors I've ever met. He does an incredible job at breaking down advanced topics in a digestible way, and providing resources to ensure that you understand it. You may have to speak up a couple times to get clarification when he skips something, but learning from him is truly inspirational.",5.0,3.0
 CHEM101,"Literally the best professor I've had at NYU. The course seems challenging at first but if you just pay attention in lecture and do the homework you'll be golden. Prof Halpin is super caring and always makes funny quips to lighten the mood of the 8 am lecture, plus he'll drop your lowest exam score if you show improvement! TAKE HIS CLASS IF YOU CAN",5.0,3.0
 HEOPUE29,Sweetest Professor Ive had at NYU so far. She is EXTREMELY helpful during her many office hours and she loves to answer any questions people have during class. Take her if you want to pass Gen Chem I and II,5.0,2.0
 GENCHEMINCC,She's the MOST helpful teacher that I've had so far. Her (and Yoel to an extent) made Mandziuk's Chem I  class less dreadful. She helped me to love chemistry and is always there for her students no matter what! ,5.0,4.0
 CHEMCHEM,"She's the nicest person I've ever met. Willing to help always, and flexible with personal tutoring. She works really hard to make you understand the material.",4.5,3.0
 ENG220,"Very knowledgeable man. Goes off on tangents for most of class, I usually don't know what's going on but one of the nicest professors I've ever had. Really cares about his students. Lots of reading, not much else to do. Could easily fake it till you make it in this class and do well.",4.0,2.0
 BRITI,"Professor Poovey is outstanding. Her lectures are incredibly interesting, and she has a way of making the study of literature sound not only legitimate, but required. With that said, she expects her students to be exceptional, so her class is very hard- but afterwards you'll actually feel like you know why you're an English major.",5.0,5.0
 ANATO001,"If you have professor Aqua, I have news for you: you are in a difficult field! Get over it, or change majors. OF COURSE class is hard, the subject is hard! Professor Aqua is one of the BEST professor I have had in my 4 years at NYU. VERY clear, very approachable. Even remembered me on the street months after I had him. Beautiful eyes to boot! LOVE!",5.0,4.0
 ANAT001,Exams are pretty much just from his lecture notes. Reading the textbook helps also. Weekly quizzes which force you to keep up with the material and he tells you exactly what you need to know for the quizzes. Exams are very fair. Final is not cumulative. Overall great professor. I would strongly recommend this course.,4.5,4.0
 BIO8978,"If you are pre-med and need to take an anatomy class, you BETTER take Dr. Aqua's anatomy class. Yes, his class is difficult because, let me tell you, THE HUMAN BODY IS COMPLEX!!  If you are going into a healthcare field you better know the body inside and out.  Dr Aqua is the best and really wants all of his students to learn!!",5.0,5.0
 VDGM101,"Soooooo laidback, awesome guy, very understanding, young, many connections, made the summer course very fun, why did it have to end?",4.5,2.0
 APSY001,"I took Intro to Psych with Todd. He is the most amazing teacher ever! I learned so much from him and this class. If you sad the textbook you will do very well. His power points are very clear. The is a midterm, final, and one paper. Everyone should take Todd's class if they can. He has defiantly made me more excited to study psychology!",5.0,2.0
 DEVPS101,Pretty relaxed and easy going instructor.  No midterm exam or finals!  4 quizzes and 3 projects make up the bulk of the grade.  No one should fail this class.,4.0,2.0
 SPAN101,"Oh Laura...she rocks my TWF..yes Fridays. I absolutely loved my class and she may give a lot of work but that's how we learn...And we only speak Spanish...don't let her hear English haha. If you are taking spanish, just choose laura!",4.0,2.0
 CINEUT444,"His class just consisted of him standing and talking about the films kinda endlessly and then screening them. That being said, a lot of what he said was actually interpretative (lacking in CS) and gave a good historical overview of the subjects at hand. Not accessible through email. You're graded based on two papers, but dw he's not a harsh grader.",4.0,1.0
 CINE1010,Bill is certainly inspirational. He has a lot of subjective and deep insights into film. I took his Scorsese's class in the summer. He is the kind of professor who you should choose if you are eager to get deeper insights into film critique rather than who you find for fun.,4.0,3.0
 CINE0,"Professor Simon is one of the most intelligent and helpful faculty members in the Cinema Studies department.  He is an expert in Vigo, Kubrick, Malick, and Welles, among others.  He's also not afraid -- unlike some other professors -- to call out your dubious interpretations.  If you take his classes, be prepared to explain your word choices.",5.0,2.0
 EXCUFILM,"I took his expressive cultures film class for the MAP requirements. His lectures are extremely dull and he talks in a monotonous voice, but he picked some great films: Chinatown, Psycho, Bonnie and Clyde, The Godfather... It's also pretty easy because there are a couple of papers you write- nothing too complex.",4.0,2.0
